Level,Hierarchical structure,Code,Parent,Class title,Class definition
4,Subclass (Field),RDF5070108,RDF50701,Transportation geography,This subclass comprises research and experimental development in transportation geography.
4,Subclass (Field),RDF5070109,RDF50701,Regional geography,This subclass comprises research and experimental development in regional geography.
4,Subclass (Field),RDF5070110,RDF50701,Historical geography,This subclass comprises research and experimental development in historical geography.
4,Subclass (Field),RDF5070111,RDF50701,Environmental geography,This subclass comprises research and experimental development in environmental geography.
4,Subclass (Field),RDF5070112,RDF50701,Behavioural geography,This subclass comprises research and experimental development in behavioural geography.
4,Subclass (Field),RDF5070199,RDF50701,"Human geography, n.e.c.","This subclass comprises research and experimental development in human geography, n.e.c."
3,Class,RDF50702,RDF507,Urban and regional planning,This class comprises research and experimental development in urban and regional planning.
4,Subclass (Field),RDF5070201,RDF50702,Community planning,This subclass comprises research and experimental development in community planning.
4,Subclass (Field),RDF5070202,RDF50702,History and theory of the built environment (except architecture),This subclass comprises research and experimental development in history and theory of the built environment (except architecture).
4,Subclass (Field),RDF5070203,RDF50702,Housing market development and management,This subclass comprises research and experimental development in housing market development and management.
4,Subclass (Field),RDF5070204,RDF50702,Land use and environmental planning,This subclass comprises research and experimental development in land use and environmental planning.
4,Subclass (Field),RDF5070205,RDF50702,Regional analysis and development,This subclass comprises research and experimental development in regional analysis and development.
4,Subclass (Field),RDF5070206,RDF50702,Transport planning,This subclass comprises research and experimental development in transport planning.
4,Subclass (Field),RDF5070207,RDF50702,Urban analysis and development,This subclass comprises research and experimental development in urban analysis and development.
4,Subclass (Field),RDF5070208,RDF50702,Urban design and studies,This subclass comprises research and experimental development in urban design and studies.
4,Subclass (Field),RDF5070209,RDF50702,Landscape studies (except architecture),"This subclass comprises research and experimental development in landscape studies, except architecture."
4,Subclass (Field),RDF5070210,RDF50702,Smart city design and development and related analysis,This subclass comprises research and experimental development in smart city design and development and related analysis.
4,Subclass (Field),RDF5070299,RDF50702,"Urban and regional planning, n.e.c.","This subclass comprises research and experimental development in urban and regional planning, n.e.c."
3,Class,RDF50799,RDF507,Other social and human geography,This class comprises research and experimental development in other social and human geography.
4,Subclass (Field),RDF5079999,RDF50799,Other social and human geography,"This subclass comprises research and experimental development in other social and human geography, n.e.c."
2,Group,RDF508,RDF50,Media and communications,This group comprises research and experimental development in media and communications.
3,Class,RDF50801,RDF508,Communication and media studies,This class comprises research and experimental development in communication and media studies.
4,Subclass (Field),RDF5080101,RDF50801,General communication studies,This subclass comprises research and experimental development in general communication studies.
